,Unnamed: 0.1,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type,year
0,0,77718,Australia,"Possibly a little sweet, this is a soft, easygoing Chardonnay marked by clean, modest pear and melon flavors.",,83,5,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Banrock Station 2006 Chardonnay,Chardonnay,Banrock Station,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/77731_53BBE_2001_050108.jpg,['pear'],white,2006
1,1,67681,France,"A soft, almost off dry wine that is full in the mouth. It has caramel and spice flavors as well as light acidity. The wine feels weighty and definitely needs food.",Réserve,85,12,Rhône Valley,Côtes du Rhône,,Roger Voss,@vossroger,Cellier des Dauphins 2015 Réserve Rosé,Rosé,Cellier des Dauphins,https://images.vivino.com/thumbs/hEgKAJjUQLePbwzlgvNg-Q_pb_x600.png,['spice'],rosé,2015
2,3,46544,US,"This is the winery's best Nebula in years. While it's still a little on the soft, sweet side, the cool vintage has resonated in the wine's flavor, giving it a good structure housing cherry, currant and sandalwood flavors. Drink now.",Nebula,87,29,California,Paso Robles,Central Coast,,,Midnight 2010 Nebula Cabernet Sauvignon,Cabernet Sauvignon,Midnight,https://static.wineaccess.com/images/products/Bottle_Red_proper_size.png,['cherry'],red,2010
3,4,186,US,"This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",Wiley Vineyard,88,40,California,Anderson Valley,,,,Harrington 2006 Wiley Vineyard Pinot Noir,Pinot Noir,Harrington,https://www.princeofpinot.com/media/images/07_19/07_19-16.jpg,"['fruit', 'cherry']",red,2006
4,5,73126,US,"An unabashedly rich and luscious wine, this combines ripe and fresh fruit flavors with luxurious spicy, buttery accents and an almost thick texture. With a subtext as savory as Udon broth it's practically a meal in a bottle. Call it full-bodied, full-flavored, ultrasmooth and impressive.",,90,22,California,Sonoma County-Monterey County-Santa Barbara County,California Other,Jim Gordon,@gordone_cellars,Meiomi 2013 Chardonnay,Chardonnay,Meiomi,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwsYAvk79kt9lqaPI75ZHlr324PFLlwme1PjT7487ZyjcJ8ge-vbBXTQd5TCQZnfZqHjlD3YKyMxzbpgjEn0-4hduddpXpuk6yfyOcVTPPCanNmiM3qqVT-anrdMeN8qqYYzlLH86kSU0/s1600/lbl-CA-Meiomi-Chardonnay-2013-remc.jpg,"['fruit', 'butter']",white,2013
5,6,26800,US,"This opens with a pleasing toasty aroma, following through on the palate. That deft touch of French oak (33% new) frames a solid core of strawberry preserves and Bing cherry fruit. It resonates on through a stylish, textural finish. Enjoy this immediately, and tuck away a few bottles to drink in five years.",Five Faces,90,33,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Fullerton 2014 Five Faces Pinot Noir,Pinot Noir,Fullerton,https://savornw.com/images/articles/Fullerton2014FFPinotNoir.jpg,"['fruit', 'berry', 'cherry', 'oak']",red,2014
6,8,86297,US,"Here's a good, everyday Cab if you're looking for a bargain. It's dry, tannic and earthy, with suggestions of currants and oak.",,84,10,California,Central Coast,Central Coast,,,Cupcake 2005 Cabernet Sauvignon,Cabernet Sauvignon,Cupcake,https://cdn.ct-static.com/labels/d08f51eb-7a81-42fb-b48e-b5d281bca3df.jpg,"['oak', 'earth']",red,2005
7,9,56015,France,"Made from low-yielding, 70-year-old vines, this is a dense wine with an almost-dark structure and ripe red-plum flavors. Powerful, it obviously will be better with food and could even benefit from decanting before drinking. Age this concentrated wine until late 2016.",Clos du Château,92,21,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine du Clos Gautier 2015 Clos du Château Rosé,Rosé,Domaine du Clos Gautier,https://s.lesgrappes.com/media/osaka/slideshowmanufacturers/1584025798vins_ross_clos_gautier.jpg,['plum'],rosé,2015
8,10,78536,US,"Amidst cola and sassafras on the nose, there's a bit of rotting cherry funk and some compost pile aromas to this intriguing single-vineyard Syrah from the Los Alamos area. The little bit of cherry sweetness on the palate gets more serious with chopped herbs, tobacco and cedar.",White Hawk Vineyard,89,38,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Deep Sea 2011 White Hawk Vineyard Syrah,Syrah,Deep Sea,https://www.conwayfamilywines.com/assets/client/File/DSsyrahBlackB%205-13.jpg,"['cherry', 'herb']",red,2011
9,13,129762,US,"It shows ultrarich tannins and a flavor complexity ranging from briary wild blackberries and prunes to currants, nettles, sweet tea and softened cola. It's absolutely dry, despite or perhaps because of very high alcohol. The wine is unapologetic about that ripeness, instead asking only to be happily paired with barbecue.",,87,20,California,Russian River Valley,Sonoma,,,Novy 2012 Zinfandel,Zinfandel,Novy,https://californiawinefan.com/wp-content/uploads/2014/07/NovyWines-270x232.jpg,['prune'],red,2012
10,14,34634,Portugal,"With a high proportion of generous Alicante Bouschet in the blend, this is a big, bold wine. It has smoky flavors showing a meaty character that's enhanced by 12 months wood aging. Generous tannins give a rich, structured character. It could still do with some aging, so drink from 2017.",Santos da Casa Reserva,91,19,Alentejano,,,Roger Voss,@vossroger,Casca Wines 2011 Santos da Casa Reserva Red,Portuguese Red,Casca Wines,https://www.portugalvineyards.com/97633-home_default/lapa-dos-gaivoes-grand-reserve-red-2011.jpg,[],red,2011
11,17,26153,Germany,"Hints of lemon shortbread, fresh apple and white flower unfold on the nose of this delicately honeyed wine. On the palate, sweet white-peach and yellow-cherry flavors run just a shade off dry. Easy going and fresh, it finishes long, with a streak of tangerine acidity.",Dom Off-Dry,89,18,Mosel,,,Anna Lee C. Iijima,,Bischöfliche Weingüter Trier 2015 Dom Off-Dry Riesling,Riesling,Bischöfliche Weingüter Trier,https://boutinot.com/product/large/GBW003.png,"['apple', 'peach', 'cherry', 'lemon', 'honey', 'lemon']",white,2015
12,19,125453,US,"A blend of Ciel du Cheval and Force Majeure vineyards, this wine brings a mix of pomegranate, dark raspberry, dried tobacco, crushed rock and peppery spices. It explodes on the palate with rich, dense, cranberry and spice flavors that linger.",Crazy Mary,93,48,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Mark Ryan 2012 Crazy Mary Mourvèdre,Mourvèdre,Mark Ryan,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/440511_227_FEBMAR24.JPG,"['berry', 'spice', 'pepper']",red,2012
13,20,69961,Chile,"Fleshy, tropical aromas with a touch of varietal snap set up a green palate with sweet lime and scallion flavors. The finish shows ripeness and tropical notes before turning heavy. Drink this well chilled.",U Estate Grown,85,11,Maipo Valley,,,Michael Schachner,@wineschach,Undurraga 2012 U Estate Grown Sauvignon Blanc,Sauvignon Blanc,Undurraga,https://s3.amazonaws.com/delectable-profile-photos/emily-mclintock-1-1419297666-f54bdbfadc7b_250x250.jpg,"['tropical', 'lime']",white,2012
14,21,73036,Australia,"This restrained, medium-bodied Cabernet Sauvignon is a solid value. On the nose, cedar, vanilla and cassis elements blend together easily, while brown sugar and vanilla flavors are supported by just enough cassis and black cherry fruit. Drink now–2028.",Two Passions,90,20,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Wildberry Estate 2013 Two Passions Cabernet Sauvignon,Cabernet Sauvignon,Wildberry Estate,https://southernstarz.com/wp-content/uploads/2020/01/Wildberry-Two-Passions-Cabernet-Sauvignon-2013-Hi-Res-Label-895x1024.jpg,"['fruit', 'cherry', 'vanilla']",red,2013
15,23,96340,US,"This cool climate region is well-suited to this grape, producing aromatic, elegant wines such as this without the over-the-top perfume that can drive consumers away. Subtle aromas suggest light talc, acacia and calla lily, while in the mouth this is soft and smooth. Overall it's just plain pretty, with details of apple and apple skin.",Gorge Crest,90,28,Oregon,Columbia Gorge (OR),Oregon Other,Paul Gregutt,@paulgwine ,Phelps Creek 2015 Gorge Crest Gewürztraminer ),Gewürztraminer,Phelps Creek,https://cdn.shoplightspeed.com/shops/656366/files/65488628/660x900x2/2023-phelps-creek-gorge-crest-gewurztraminer.jpg,['apple'],white,2015
16,24,9203,Portugal,"A soft apple-tinged wine, with bright acidity that cuts right through. The wine is rounded, with just enough crispness. Ready to drink.",Conde de Vimioso Colheita Seleccionada,86,9,Tejo,,,Roger Voss,@vossroger,Falua 2010 Conde de Vimioso Colheita Seleccionada White,Portuguese White,Falua,https://www.portugalvineyards.com/101185-home_default/magnum-conde-de-vimioso-selected-harvest-red-2019.jpg,['apple'],white,2010
