Unnamed: 0.1,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type,year,clean_description,style
0,77718,Australia,"Possibly a little sweet, this is a soft, easygoing Chardonnay marked by clean, modest pear and melon flavors.",,83,5,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Banrock Station 2006 Chardonnay (South Eastern Australia),Chardonnay,Banrock Station,https://images.vivino.com/thumbs/WlryjYQxS22ZSi1SmMam8w_pb_x600.png,['fruit'],white,2006,possibly little sweet soft easygoing Chardonnay mark clean modest pear melon flavor,Sweet and Buttery
1,67681,France,"A soft, almost off dry wine that is full in the mouth. It has caramel and spice flavors as well as light acidity. The wine feels weighty and definitely needs food.",Réserve,85,12,Rhône Valley,Côtes du Rhône,,Roger Voss,@vossroger,Cellier des Dauphins 2015 Réserve Rosé (Côtes du Rhône),Rosé,Cellier des Dauphins,https://images.vivino.com/thumbs/hEgKAJjUQLePbwzlgvNg-Q_pb_x600.png,['spice'],rosé,2015,soft dry wine mouth caramel spice flavor light acidity wine feel weighty definitely need food,Concentrated and Fruity
3,46544,US,"This is the winery's best Nebula in years. While it's still a little on the soft, sweet side, the cool vintage has resonated in the wine's flavor, giving it a good structure housing cherry, currant and sandalwood flavors. Drink now.",Nebula,87,29,California,Paso Robles,Central Coast,,,Midnight 2010 Nebula Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Midnight,https://images.vivino.com/thumbs/NUlpP-EGTDm_IOpNQ6EX7Q_pb_x600.png,"['wood', 'berry']",red,2010,winery good Nebula year little soft sweet cool vintage resonate wine flavor give good structure housing cherry currant sandalwood flavor drink,Structured and Toasty
4,186,US,"This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",Wiley Vineyard,88,40,California,Anderson Valley,,,,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington,https://images.vivino.com/thumbs/dl80POTrTIik2DHJQ1Q2LQ_150x200.jpg,"['spice', 'chocolate', 'berry']",red,2006,rich Pinot primary virtue fruit explode delicious cherry jam red currant licorice mocha flavor dry crisply acidic beautiful wine early drinking,Light and Fruity
5,73126,US,"An unabashedly rich and luscious wine, this combines ripe and fresh fruit flavors with luxurious spicy, buttery accents and an almost thick texture. With a subtext as savory as Udon broth it's practically a meal in a bottle. Call it full-bodied, full-flavored, ultrasmooth and impressive.",,90,22,California,Sonoma County-Monterey County-Santa Barbara County,California Other,Jim Gordon,@gordone_cellars,Meiomi 2013 Chardonnay (Sonoma County-Monterey County-Santa Barbara County),Chardonnay,Meiomi,https://images.vivino.com/thumbs/gbiDYRV-SQSjClgGSUMGwQ_150x200.jpg,['butter'],white,2013,unabashedly rich luscious wine combine ripe fresh fruit flavor luxurious spicy buttery accent thick texture subtext savory Udon broth practically meal bottle bodied flavor ultrasmooth impressive,Structured and Toasty
6,26800,US,"This opens with a pleasing toasty aroma, following through on the palate. That deft touch of French oak (33% new) frames a solid core of strawberry preserves and Bing cherry fruit. It resonates on through a stylish, textural finish. Enjoy this immediately, and tuck away a few bottles to drink in five years.",Five Faces,90,33,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Fullerton 2014 Five Faces Pinot Noir (Willamette Valley),Pinot Noir,Fullerton,https://images.vivino.com/thumbs/JhHo78z2Raq_VuiQVKuu-Q_pb_x600.png,"['wood', 'berry']",red,2014,open pleasing toasty aroma follow palate deft touch french oak 33 new frame solid core strawberry preserve bing cherry fruit resonate stylish textural finish enjoy immediately tuck away bottle drink year,Outlier/Not Classified
8,86297,US,"Here's a good, everyday Cab if you're looking for a bargain. It's dry, tannic and earthy, with suggestions of currants and oak.",,84,10,California,Central Coast,Central Coast,,,Cupcake 2005 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Cupcake,https://images.vivino.com/thumbs/7ZviRPGcROmU05WV1TFrjQ_pb_x600.png,"['wood', 'mineral', 'berry']",red,2005,good everyday Cab look bargain dry tannic earthy suggestion currant oak,Rich and Tannic
9,56015,France,"Made from low-yielding, 70-year-old vines, this is a dense wine with an almost-dark structure and ripe red-plum flavors. Powerful, it obviously will be better with food and could even benefit from decanting before drinking. Age this concentrated wine until late 2016.",Clos du Château,92,21,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine du Clos Gautier 2015 Clos du Château Rosé (Côtes de Provence),Rosé,Domaine du Clos Gautier,https://images.vivino.com/thumbs/YXtm6BqbRhS4_MOUDZHzlw_150x200.jpg,['fruit'],rosé,2015,low yield 70 year old vine dense wine dark structure ripe red plum flavor powerful obviously well food benefit decant drinking age concentrate wine late 2016,Concentrated and Fruity
10,78536,US,"Amidst cola and sassafras on the nose, there's a bit of rotting cherry funk and some compost pile aromas to this intriguing single-vineyard Syrah from the Los Alamos area. The little bit of cherry sweetness on the palate gets more serious with chopped herbs, tobacco and cedar.",White Hawk Vineyard,89,38,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Deep Sea 2011 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Deep Sea,https://images.vivino.com/thumbs/SQsAY4QyQdiUk3ozxm355Q_150x200.jpg,"['smoky', 'herbs', 'berry']",red,2011,amidst cola sassafra nose bit rot cherry funk compost pile aroma intriguing single vineyard Syrah Los Alamos area little bit cherry sweetness palate get chop herb tobacco cedar,Spicy and Aromatic
13,129762,US,"It shows ultrarich tannins and a flavor complexity ranging from briary wild blackberries and prunes to currants, nettles, sweet tea and softened cola. It's absolutely dry, despite or perhaps because of very high alcohol. The wine is unapologetic about that ripeness, instead asking only to be happily paired with barbecue.",,87,20,California,Russian River Valley,Sonoma,,,Novy 2012 Zinfandel (Russian River Valley),Zinfandel,Novy,https://images.vivino.com/thumbs/jxPZJUxPTXugXLcZM7dfxA_pb_x600.png,"['fruit', 'berry']",red,2012,show ultrarich tannin flavor complexity range briary wild blackberry prune currant nettle sweet tea soften cola absolutely dry despite high alcohol wine unapologetic ripeness instead ask happily pair barbecue,Concentrated and Fruity
14,34634,Portugal,"With a high proportion of generous Alicante Bouschet in the blend, this is a big, bold wine. It has smoky flavors showing a meaty character that's enhanced by 12 months wood aging. Generous tannins give a rich, structured character. It could still do with some aging, so drink from 2017.",Santos da Casa Reserva,91,19,Alentejano,,,Roger Voss,@vossroger,Casca Wines 2011 Santos da Casa Reserva Red (Alentejano),Portuguese Red,Casca Wines,https://images.vivino.com/thumbs/-gMNJlzfSCOSslABerjmmg_pb_x600.png,['wood'],red,2011,high proportion generous Alicante Bouschet blend big bold wine smoky flavor show meaty character enhance 12 month wood aging generous tannin rich structured character aging drink 2017,Concentrated and Fruity
17,26153,Germany,"Hints of lemon shortbread, fresh apple and white flower unfold on the nose of this delicately honeyed wine. On the palate, sweet white-peach and yellow-cherry flavors run just a shade off dry. Easy going and fresh, it finishes long, with a streak of tangerine acidity.",Dom Off-Dry,89,18,Mosel,,,Anna Lee C. Iijima,,Bischöfliche Weingüter Trier 2015 Dom Off-Dry Riesling (Mosel),Riesling,Bischöfliche Weingüter Trier,https://images.vivino.com/thumbs/RRKTqQ-sSYaytEF0f38oPA_pb_x600.png,"['fruit', 'flowers', 'caramel', 'citrus', 'berry']",white,2015,hint lemon shortbread fresh apple white flower unfold nose delicately honey wine palate sweet white peach yellow cherry flavor run shade dry easy go fresh finish long streak tangerine acidity,Crisp and Citrusy
19,125453,US,"A blend of Ciel du Cheval and Force Majeure vineyards, this wine brings a mix of pomegranate, dark raspberry, dried tobacco, crushed rock and peppery spices. It explodes on the palate with rich, dense, cranberry and spice flavors that linger.",Crazy Mary,93,48,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Mark Ryan 2012 Crazy Mary Mourvèdre (Red Mountain),Mourvèdre,Mark Ryan,https://images.vivino.com/thumbs/n8UVv9bkSUOqC9XeunoKjg_pb_x600.png,"['smoky', 'spice', 'berry']",red,2012,blend Ciel du Cheval Force Majeure vineyard wine bring mix pomegranate dark raspberry dry tobacco crush rock peppery spice explode palate rich dense cranberry spice flavor linger,Outlier/Not Classified
20,69961,Chile,"Fleshy, tropical aromas with a touch of varietal snap set up a green palate with sweet lime and scallion flavors. The finish shows ripeness and tropical notes before turning heavy. Drink this well chilled.",U Estate Grown,85,11,Maipo Valley,,,Michael Schachner,@wineschach,Undurraga 2012 U Estate Grown Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Undurraga,https://images.vivino.com/thumbs/ZJs6i444T8qe46ARA7IyhQ_pb_x600.png,"['citrus', 'fruit']",white,2012,fleshy tropical aroma touch varietal snap set green palate sweet lime scallion flavor finish show ripeness tropical note turn heavy drink chill,Outlier/Not Classified
